name_with_owner,stargazers,created_at,releases_count,n_classes,cbo_mean,dit_mean,lcom_mean,loc,comment_lines
Netflix/Hystrix,24464,2012-11-19T20:14:46Z,79,2005,3.345635910224439,1.568079800498753,20.253865336658354,62010.0,
Netflix/SimianArmy,7980,2012-07-06T22:00:05Z,4,305,5.845901639344262,1.4229508196721312,25.160655737704918,16056.0,
Netflix/concurrency-limits,3550,2017-12-11T19:32:41Z,103,128,4.609375,1.28125,8.3828125,5153.0,
Netflix/conductor,12783,2016-12-07T22:48:42Z,319,664,7.463855421686747,1.25,78.67469879518072,47052.0,
Netflix/eureka,12699,2012-07-26T22:23:07Z,152,747,5.8460508701472556,1.2690763052208835,18.613119143239626,33579.0,
Netflix/maestro,3747,2024-04-17T01:15:56Z,0,1125,8.44,1.6044444444444443,27.329777777777778,58295.0,
Netflix/ribbon,4616,2013-01-15T01:08:04Z,41,710,4.387323943661972,1.2661971830985916,13.377464788732395,21788.0,
Netflix/zuul,13999,2013-03-13T18:53:57Z,66,520,6.563461538461539,1.6096153846153847,24.998076923076923,22408.0,
Nightonke/BoomMenu,5790,2016-03-19T12:04:12Z,0,115,5.6347826086956525,1.5739130434782609,227.6695652173913,7710.0,
NotHarshhaa/DevOps-Projects,3853,2023-08-09T04:19:38Z,0,142,5.774647887323944,1.1901408450704225,22.753521126760564,4452.0,
OpenAPITools/openapi-generator,26078,2018-05-12T09:57:56Z,79,4316,4.885078776645042,1.2530120481927711,85.94161260426321,251029.0,
OpenFeign/feign,9782,2013-06-26T23:28:16Z,49,1312,5.040396341463414,1.6760670731707317,14.445884146341463,39686.0,
OpenHFT/Chronicle-Queue,3718,2013-06-02T15:11:33Z,540,528,5.40719696969697,1.5965909090909092,169.34469696969697,29075.0,
OpenRefine/OpenRefine,11801,2012-10-15T02:22:48Z,76,1408,6.495738636363637,1.7095170454545454,13.149147727272727,73894.0,
OpenTSDB/opentsdb,5065,2010-08-27T02:05:20Z,27,958,7.086638830897703,1.2839248434237995,64.87578288100208,104636.0,
PBH-BTN/PeerBanHelper,5898,2024-02-07T14:35:16Z,191,722,6.583102493074792,1.3130193905817173,16.001385041551245,30571.0,
PaperMC/Paper,12141,2016-01-22T05:40:19Z,0,4247,6.9547916176124325,1.6906051330350835,102.10077701907228,162696.0,
PhilJay/MPAndroidChart,38228,2014-04-25T14:29:47Z,44,306,8.843137254901961,1.9803921568627452,91.0326797385621,21111.0,
Piasy/BigImageViewer,3987,2016-11-06T09:55:02Z,0,84,4.607142857142857,1.2857142857142858,12.80952380952381,2513.0,
PlexPt/chatgpt-java,3612,2022-12-07T04:55:33Z,24,69,5.27536231884058,1.2753623188405796,14.594202898550725,2014.0,
PojavLauncherTeam/PojavLauncher,8834,2020-03-11T03:22:54Z,126,402,6.233830845771144,1.4104477611940298,124.73134328358209,27149.0,
PowerJob/PowerJob,7720,2020-03-16T09:19:55Z,51,755,5.784105960264901,1.180132450331126,5.137748344370861,24684.0,
Qihoo360/RePlugin,7348,2017-06-08T09:39:09Z,19,456,5.197368421052632,1.4166666666666667,32.01973684210526,30275.0,
Querz/mcaselector,4395,2018-04-22T22:23:26Z,75,545,6.8807339449541285,2.539449541284404,23.106422018348624,37334.0,
Ramotion/folding-cell-android,4891,2016-04-01T11:38:47Z,0,21,4.142857142857143,1.3333333333333333,13.380952380952381,812.0,
ReChronoRain/HyperCeiler,4644,2023-10-27T17:17:42Z,10,1752,3.944634703196347,1.4823059360730593,14.853881278538813,59418.0,
ReactiveX/RxAndroid,20148,2014-08-19T03:46:38Z,20,55,2.272727272727273,1.1272727272727272,3.090909090909091,1452.0,
ReactiveX/RxJava,48428,2013-01-08T20:11:48Z,258,11897,2.3219298982936873,1.318147432125746,47.883584096831136,373337.0,
RikkaApps/Sui,3892,2021-01-03T08:26:16Z,21,89,4.955056179775281,1.1573033707865168,14.55056179775281,4514.0,
RipMeApp/ripme,4067,2017-01-06T17:12:09Z,145,320,5.0125,2.540625,28.271875,19912.0,
RoaringBitmap/RoaringBitmap,3850,2013-06-17T20:29:23Z,47,647,5.568778979907265,1.1375579598145287,257.96754250386397,79586.0,
SPLWare/esProc,4689,2021-11-09T15:41:25Z,0,2659,6.6021060549078605,2.1910492666415946,97.63670552839413,428514.0,
Sayi/poi-tl,5065,2015-03-20T06:47:52Z,14,525,6.495238095238095,1.2057142857142857,89.65523809523809,22801.0,
SeleniumHQ/selenium,34191,2013-01-14T21:40:56Z,114,2085,5.816786570743405,1.3760191846522782,33.50119904076739,99512.0,
Snailclimb/JavaGuide,154764,2018-05-07T13:27:00Z,0,3,2.3333333333333335,1.0,14.333333333333334,300.0,
Snailclimb/guide-rpc-framework,4400,2020-05-10T13:24:42Z,0,97,4.690721649484536,1.2268041237113403,1.2268041237113403,2408.0,
SonarSource/sonarqube,10421,2011-01-05T11:05:17Z,70,8555,7.289888953828171,1.1610753945061367,27.687551139684395,419169.0,
SplashCodes/JAViewer,4590,2016-05-21T08:47:10Z,10,179,5.787709497206704,1.5977653631284916,11.64804469273743,6309.0,
