owner,name,repo_full,url,stars,contributors,commits_5_anos,default_branch,faixa_stars,faixa_contributors,faixa_commits
pallets,flask,pallets/flask,https://github.com/pallets/flask,71572,862,1218,main,5. 50k–100k,4. 201–1000,3. 1k–5k
hiyouga,LlamaFactory,hiyouga/LlamaFactory,https://github.com/hiyouga/LlamaFactory,71530,273,3030,main,5. 50k–100k,4. 201–1000,3. 1k–5k
binary-husky,gpt_academic,binary-husky/gpt_academic,https://github.com/binary-husky/gpt_academic,70719,114,2403,master,5. 50k–100k,3. 51–200,3. 1k–5k
bytedance,deer-flow,bytedance/deer-flow,https://github.com/bytedance/deer-flow,69317,254,2157,main,5. 50k–100k,4. 201–1000,3. 1k–5k
ansible,ansible,ansible/ansible,https://github.com/ansible/ansible,68684,6939,3867,devel,5. 50k–100k,5. > 1000,3. 1k–5k
FoundationAgents,MetaGPT,FoundationAgents/MetaGPT,https://github.com/FoundationAgents/MetaGPT,68239,148,6367,main,5. 50k–100k,3. 51–200,4. 5k–20k
OpenBB-finance,OpenBB,OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,67993,268,4908,develop,5. 50k–100k,4. 201–1000,3. 1k–5k
labmlai,annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,https://github.com/labmlai/annotated_deep_learning_paper_implementations,66801,42,457,master,5. 50k–100k,2. 11–50,1. 100–499
xtekky,gpt4free,xtekky/gpt4free,https://github.com/xtekky/gpt4free,66275,275,4280,main,5. 50k–100k,4. 201–1000,3. 1k–5k
scikit-learn,scikit-learn,scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,66167,3513,6900,main,5. 50k–100k,5. > 1000,4. 5k–20k
unclecode,crawl4ai,unclecode/crawl4ai,https://github.com/unclecode/crawl4ai,66135,79,1468,main,5. 50k–100k,3. 51–200,3. 1k–5k
unslothai,unsloth,unslothai/unsloth,https://github.com/unslothai/unsloth,65031,184,5390,main,5. 50k–100k,3. 51–200,4. 5k–20k
localstack,localstack,localstack/localstack,https://github.com/localstack/localstack,64973,657,5846,main,5. 50k–100k,4. 201–1000,4. 5k–20k
opendatalab,MinerU,opendatalab/MinerU,https://github.com/opendatalab/MinerU,64631,98,5467,master,5. 50k–100k,3. 51–200,4. 5k–20k
keras-team,keras,keras-team/keras,https://github.com/keras-team/keras,64087,1518,6914,master,5. 50k–100k,5. > 1000,4. 5k–20k
openinterpreter,open-interpreter,openinterpreter/open-interpreter,https://github.com/openinterpreter/open-interpreter,63642,133,3120,main,5. 50k–100k,3. 51–200,3. 1k–5k
pathwaycom,pathway,pathwaycom/pathway,https://github.com/pathwaycom/pathway,63252,40,1973,main,5. 50k–100k,2. 11–50,3. 1k–5k
Asabeneh,30-Days-Of-Python,Asabeneh/30-Days-Of-Python,https://github.com/Asabeneh/30-Days-Of-Python,63038,84,393,master,5. 50k–100k,3. 51–200,1. 100–499
scrapy,scrapy,scrapy/scrapy,https://github.com/scrapy/scrapy,61794,714,2135,master,5. 50k–100k,4. 201–1000,3. 1k–5k
commaai,openpilot,commaai/openpilot,https://github.com/commaai/openpilot,61018,722,12963,master,5. 50k–100k,4. 201–1000,4. 5k–20k
docling-project,docling,docling-project/docling,https://github.com/docling-project/docling,60257,225,1053,main,5. 50k–100k,4. 201–1000,3. 1k–5k
virattt,ai-hedge-fund,virattt/ai-hedge-fund,https://github.com/virattt/ai-hedge-fund,59162,45,842,main,5. 50k–100k,2. 11–50,2. 500–999
karpathy,nanoGPT,karpathy/nanoGPT,https://github.com/karpathy/nanoGPT,58668,37,210,master,5. 50k–100k,2. 11–50,1. 100–499
microsoft,autogen,microsoft/autogen,https://github.com/microsoft/autogen,58323,533,3718,main,5. 50k–100k,4. 201–1000,3. 1k–5k
RVC-Boss,GPT-SoVITS,RVC-Boss/GPT-SoVITS,https://github.com/RVC-Boss/GPT-SoVITS,57708,100,1044,main,5. 50k–100k,3. 51–200,3. 1k–5k
harry0703,MoneyPrinterTurbo,harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,57663,46,544,main,5. 50k–100k,2. 11–50,2. 500–999
ultralytics,ultralytics,ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,57490,359,4005,main,5. 50k–100k,4. 201–1000,3. 1k–5k
ultralytics,yolov5,ultralytics/yolov5,https://github.com/ultralytics/yolov5,57421,347,1829,master,5. 50k–100k,4. 201–1000,3. 1k–5k
zylon-ai,private-gpt,zylon-ai/private-gpt,https://github.com/zylon-ai/private-gpt,57215,94,334,main,5. 50k–100k,3. 51–200,1. 100–499
soimort,you-get,soimort/you-get,https://github.com/soimort/you-get,56857,264,221,develop,5. 50k–100k,4. 201–1000,1. 100–499
mem0ai,mem0,mem0ai/mem0,https://github.com/mem0ai/mem0,56537,313,2202,main,5. 50k–100k,4. 201–1000,3. 1k–5k
Textualize,rich,Textualize/rich,https://github.com/Textualize/rich,56425,289,2488,master,5. 50k–100k,4. 201–1000,3. 1k–5k
FoundationAgents,OpenManus,FoundationAgents/OpenManus,https://github.com/FoundationAgents/OpenManus,56356,60,526,main,5. 50k–100k,3. 51–200,2. 500–999
deepfakes,faceswap,deepfakes/faceswap,https://github.com/deepfakes/faceswap,55237,98,530,master,5. 50k–100k,3. 51–200,2. 500–999
Zie619,n8n-workflows,Zie619/n8n-workflows,https://github.com/Zie619/n8n-workflows,54681,38,151,main,5. 50k–100k,2. 11–50,1. 100–499
karpathy,nanochat,karpathy/nanochat,https://github.com/karpathy/nanochat,54066,55,381,master,5. 50k–100k,3. 51–200,1. 100–499
psf,requests,psf/requests,https://github.com/psf/requests,54011,793,438,main,5. 50k–100k,4. 201–1000,1. 100–499
D4Vinci,Scrapling,D4Vinci/Scrapling,https://github.com/D4Vinci/Scrapling,53683,17,1442,main,5. 50k–100k,2. 11–50,3. 1k–5k
MemPalace,mempalace,MemPalace/mempalace,https://github.com/MemPalace/mempalace,52717,90,1078,develop,5. 50k–100k,3. 51–200,3. 1k–5k
datawhalechina,hello-agents,datawhalechina/hello-agents,https://github.com/datawhalechina/hello-agents,52642,85,791,main,5. 50k–100k,3. 51–200,2. 500–999
safishamsi,graphify,safishamsi/graphify,https://github.com/safishamsi/graphify,52484,51,529,v8,5. 50k–100k,3. 51–200,2. 500–999
crewAIInc,crewAI,crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,52033,299,2433,main,5. 50k–100k,4. 201–1000,3. 1k–5k
odoo,odoo,odoo/odoo,https://github.com/odoo/odoo,51476,4087,52674,19.0,5. 50k–100k,5. > 1000,5. > 20k
charlax,professional-programming,charlax/professional-programming,https://github.com/charlax/professional-programming,51007,41,214,master,5. 50k–100k,2. 11–50,1. 100–499
freqtrade,freqtrade,freqtrade/freqtrade,https://github.com/freqtrade/freqtrade,50674,388,19979,develop,5. 50k–100k,4. 201–1000,4. 5k–20k
jingyaogong,minimind,jingyaogong/minimind,https://github.com/jingyaogong/minimind,50459,11,353,master,5. 50k–100k,2. 11–50,1. 100–499
NanmiCoder,MediaCrawler,NanmiCoder/MediaCrawler,https://github.com/NanmiCoder/MediaCrawler,50067,76,761,main,5. 50k–100k,3. 51–200,2. 500–999
run-llama,llama_index,run-llama/llama_index,https://github.com/run-llama/llama_index,49618,1939,7807,main,4. 25k–50k,5. > 1000,4. 5k–20k
lllyasviel,Fooocus,lllyasviel/Fooocus,https://github.com/lllyasviel/Fooocus,48850,59,1144,main,4. 25k–50k,3. 51–200,3. 1k–5k
pandas-dev,pandas,pandas-dev/pandas,https://github.com/pandas-dev/pandas,48832,4210,11164,main,4. 25k–50k,5. > 1000,4. 5k–20k
BerriAI,litellm,BerriAI/litellm,https://github.com/BerriAI/litellm,48029,1526,39380,litellm_internal_staging,4. 25k–50k,5. > 1000,5. > 20k
microsoft,VibeVoice,microsoft/VibeVoice,https://github.com/microsoft/VibeVoice,47384,20,135,main,4. 25k–50k,2. 11–50,1. 100–499
oobabooga,textgen,oobabooga/textgen,https://github.com/oobabooga/textgen,47205,393,5749,main,4. 25k–50k,4. 201–1000,4. 5k–20k
apache,airflow,apache/airflow,https://github.com/apache/airflow,45510,4384,25986,main,4. 25k–50k,5. > 1000,5. > 20k
Aider-AI,aider,Aider-AI/aider,https://github.com/Aider-AI/aider,45213,182,13138,main,4. 25k–50k,3. 51–200,4. 5k–20k
9001,copyparty,9001/copyparty,https://github.com/9001/copyparty,44968,114,4006,hovudstraum,4. 25k–50k,3. 51–200,3. 1k–5k
exo-explore,exo,exo-explore/exo,https://github.com/exo-explore/exo,44881,105,2344,main,4. 25k–50k,3. 51–200,3. 1k–5k
zhayujie,CowAgent,zhayujie/CowAgent,https://github.com/zhayujie/CowAgent,44751,115,1898,master,4. 25k–50k,3. 51–200,3. 1k–5k
streamlit,streamlit,streamlit/streamlit,https://github.com/streamlit/streamlit,44692,329,5637,develop,4. 25k–50k,4. 201–1000,4. 5k–20k
SimplifyJobs,Summer2026-Internships,SimplifyJobs/Summer2026-Internships,https://github.com/SimplifyJobs/Summer2026-Internships,44665,894,45983,dev,4. 25k–50k,4. 201–1000,5. > 20k
hesreallyhim,awesome-claude-code,hesreallyhim/awesome-claude-code,https://github.com/hesreallyhim/awesome-claude-code,44622,16,1157,main,4. 25k–50k,2. 11–50,3. 1k–5k
hiroi-sora,Umi-OCR,hiroi-sora/Umi-OCR,https://github.com/hiroi-sora/Umi-OCR,44438,17,1267,main,4. 25k–50k,2. 11–50,3. 1k–5k
getsentry,sentry,getsentry/sentry,https://github.com/getsentry/sentry,43953,1050,67779,master,4. 25k–50k,5. > 1000,5. > 20k
mitmproxy,mitmproxy,mitmproxy/mitmproxy,https://github.com/mitmproxy/mitmproxy,43657,604,1866,main,4. 25k–50k,4. 201–1000,3. 1k–5k
microsoft,qlib,microsoft/qlib,https://github.com/microsoft/qlib,43390,151,995,main,4. 25k–50k,3. 51–200,2. 500–999
HKUDS,nanobot,HKUDS/nanobot,https://github.com/HKUDS/nanobot,43047,331,2640,main,4. 25k–50k,4. 201–1000,3. 1k–5k
faif,python-patterns,faif/python-patterns,https://github.com/faif/python-patterns,42757,150,116,master,4. 25k–50k,3. 51–200,1. 100–499
gradio-app,gradio,gradio-app/gradio,https://github.com/gradio-app/gradio,42670,499,6427,main,4. 25k–50k,4. 201–1000,4. 5k–20k
ray-project,ray,ray-project/ray,https://github.com/ray-project/ray,42641,1582,22317,master,4. 25k–50k,5. > 1000,5. > 20k
ccxt,ccxt,ccxt/ccxt,https://github.com/ccxt/ccxt,42574,893,53233,master,4. 25k–50k,4. 201–1000,5. > 20k
deepspeedai,DeepSpeed,deepspeedai/DeepSpeed,https://github.com/deepspeedai/DeepSpeed,42390,465,2579,master,4. 25k–50k,4. 201–1000,3. 1k–5k
mingrammer,diagrams,mingrammer/diagrams,https://github.com/mingrammer/diagrams,42297,177,247,master,4. 25k–50k,3. 51–200,1. 100–499
psf,black,psf/black,https://github.com/psf/black,41520,525,1216,main,4. 25k–50k,4. 201–1000,3. 1k–5k
hpcaitech,ColossalAI,hpcaitech/ColossalAI,https://github.com/hpcaitech/ColossalAI,41392,199,3977,main,4. 25k–50k,3. 51–200,3. 1k–5k
666ghj,BettaFish,666ghj/BettaFish,https://github.com/666ghj/BettaFish,41019,43,1000,main,4. 25k–50k,2. 11–50,3. 1k–5k
paperless-ngx,paperless-ngx,paperless-ngx/paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,40933,437,7445,dev,4. 25k–50k,4. 201–1000,4. 5k–20k
vnpy,vnpy,vnpy/vnpy,https://github.com/vnpy/vnpy,40860,154,1077,master,4. 25k–50k,3. 51–200,3. 1k–5k
agno-agi,agno,agno-agi/agno,https://github.com/agno-agi/agno,40315,444,5603,main,4. 25k–50k,4. 201–1000,4. 5k–20k
HKUDS,CLI-Anything,HKUDS/CLI-Anything,https://github.com/HKUDS/CLI-Anything,39807,100,688,main,4. 25k–50k,3. 51–200,2. 500–999
roboflow,supervision,roboflow/supervision,https://github.com/roboflow/supervision,39518,154,4866,develop,4. 25k–50k,3. 51–200,3. 1k–5k
lm-sys,FastChat,lm-sys/FastChat,https://github.com/lm-sys/FastChat,39480,246,890,main,4. 25k–50k,4. 201–1000,2. 500–999
2noise,ChatTTS,2noise/ChatTTS,https://github.com/2noise/ChatTTS,39306,59,434,main,4. 25k–50k,3. 51–200,1. 100–499
mindsdb,minds-platform,mindsdb/minds-platform,https://github.com/mindsdb/minds-platform,39204,908,17111,main,4. 25k–50k,4. 201–1000,4. 5k–20k
QuivrHQ,quivr,QuivrHQ/quivr,https://github.com/QuivrHQ/quivr,39157,119,2295,main,4. 25k–50k,3. 51–200,3. 1k–5k
ManimCommunity,manim,ManimCommunity/manim,https://github.com/ManimCommunity/manim,38604,493,1256,main,4. 25k–50k,4. 201–1000,3. 1k–5k
ZhuLinsen,daily_stock_analysis,ZhuLinsen/daily_stock_analysis,https://github.com/ZhuLinsen/daily_stock_analysis,38593,75,668,main,4. 25k–50k,3. 51–200,2. 500–999
sickn33,antigravity-awesome-skills,sickn33/antigravity-awesome-skills,https://github.com/sickn33/antigravity-awesome-skills,38483,215,1720,main,4. 25k–50k,4. 201–1000,3. 1k–5k
gto76,python-cheatsheet,gto76/python-cheatsheet,https://github.com/gto76/python-cheatsheet,38417,14,796,main,4. 25k–50k,2. 11–50,2. 500–999
chatchat-space,Langchain-Chatchat,chatchat-space/Langchain-Chatchat,https://github.com/chatchat-space/Langchain-Chatchat,38070,173,2471,master,4. 25k–50k,3. 51–200,3. 1k–5k
sqlmapproject,sqlmap,sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap,37461,154,775,master,4. 25k–50k,3. 51–200,2. 500–999
openai,gym,openai/gym,https://github.com/openai/gym,37212,385,513,master,4. 25k–50k,4. 201–1000,2. 500–999
satwikkansal,wtfpython,satwikkansal/wtfpython,https://github.com/satwikkansal/wtfpython,36953,82,190,master,4. 25k–50k,3. 51–200,1. 100–499
babysor,MockingBird,babysor/MockingBird,https://github.com/babysor/MockingBird,36901,41,215,main,4. 25k–50k,2. 11–50,1. 100–499
huggingface,pytorch-image-models,huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,36822,193,2184,main,4. 25k–50k,3. 51–200,3. 1k–5k
google,langextract,google/langextract,https://github.com/google/langextract,36532,23,163,main,4. 25k–50k,2. 11–50,1. 100–499
hankcs,HanLP,hankcs/HanLP,https://github.com/hankcs/HanLP,36318,46,285,doc-zh,4. 25k–50k,2. 11–50,1. 100–499
Textualize,textual,Textualize/textual,https://github.com/Textualize/textual,36004,191,13081,main,4. 25k–50k,3. 51–200,4. 5k–20k
wshobson,agents,wshobson/agents,https://github.com/wshobson/agents,35842,62,394,main,4. 25k–50k,3. 51–200,1. 100–499
jax-ml,jax,jax-ml/jax,https://github.com/jax-ml/jax,35680,1070,27938,main,4. 25k–50k,5. > 1000,5. > 20k
HKUDS,LightRAG,HKUDS/LightRAG,https://github.com/HKUDS/LightRAG,35626,280,7853,main,4. 25k–50k,4. 201–1000,4. 5k–20k
datalab-to,marker,datalab-to/marker,https://github.com/datalab-to/marker,35368,29,1359,master,4. 25k–50k,2. 11–50,3. 1k–5k
geekcomputers,Python,geekcomputers/Python,https://github.com/geekcomputers/Python,35031,847,2803,master,4. 25k–50k,4. 201–1000,3. 1k–5k
frappe,erpnext,frappe/erpnext,https://github.com/frappe/erpnext,34920,917,21756,develop,4. 25k–50k,4. 201–1000,5. > 20k
khoj-ai,khoj,khoj-ai/khoj,https://github.com/khoj-ai/khoj,34674,71,5167,master,4. 25k–50k,3. 51–200,4. 5k–20k
PostHog,posthog,PostHog/posthog,https://github.com/PostHog/posthog,34660,486,38923,master,4. 25k–50k,4. 201–1000,5. > 20k
stanfordnlp,dspy,stanfordnlp/dspy,https://github.com/stanfordnlp/dspy,34604,427,4524,main,4. 25k–50k,4. 201–1000,3. 1k–5k
facebookresearch,detectron2,facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,34493,285,414,main,4. 25k–50k,4. 201–1000,1. 100–499
python-poetry,poetry,python-poetry/poetry,https://github.com/python-poetry/poetry,34290,655,1994,main,4. 25k–50k,4. 201–1000,3. 1k–5k
PDFMathTranslate,PDFMathTranslate,PDFMathTranslate/PDFMathTranslate,https://github.com/PDFMathTranslate/PDFMathTranslate,33965,57,1144,main,4. 25k–50k,3. 51–200,3. 1k–5k
luongnv89,claude-howto,luongnv89/claude-howto,https://github.com/luongnv89/claude-howto,33955,20,212,main,4. 25k–50k,2. 11–50,1. 100–499
Pythagora-io,gpt-pilot,Pythagora-io/gpt-pilot,https://github.com/Pythagora-io/gpt-pilot,33771,63,2884,main,4. 25k–50k,3. 51–200,3. 1k–5k
github,awesome-copilot,github/awesome-copilot,https://github.com/github/awesome-copilot,33700,386,1752,main,4. 25k–50k,4. 201–1000,3. 1k–5k
ocrmypdf,OCRmyPDF,ocrmypdf/OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF,33692,121,1368,main,4. 25k–50k,3. 51–200,3. 1k–5k
huggingface,diffusers,huggingface/diffusers,https://github.com/huggingface/diffusers,33685,1108,6519,main,4. 25k–50k,5. > 1000,4. 5k–20k
explosion,spaCy,explosion/spaCy,https://github.com/explosion/spaCy,33605,780,1684,master,4. 25k–50k,4. 201–1000,3. 1k–5k
XX-net,XX-Net,XX-net/XX-Net,https://github.com/XX-net/XX-Net,33460,95,379,master,4. 25k–50k,3. 51–200,1. 100–499
microsoft,graphrag,microsoft/graphrag,https://github.com/microsoft/graphrag,33183,51,465,main,4. 25k–50k,3. 51–200,1. 100–499
OpenBMB,ChatDev,OpenBMB/ChatDev,https://github.com/OpenBMB/ChatDev,33168,16,190,main,4. 25k–50k,2. 11–50,1. 100–499
kovidgoyal,kitty,kovidgoyal/kitty,https://github.com/kovidgoyal/kitty,33079,442,11298,master,4. 25k–50k,4. 201–1000,4. 5k–20k
certbot,certbot,certbot/certbot,https://github.com/certbot/certbot,33044,550,1175,main,4. 25k–50k,4. 201–1000,3. 1k–5k
AstrBotDevs,AstrBot,AstrBotDevs/AstrBot,https://github.com/AstrBotDevs/AstrBot,32929,279,4698,master,4. 25k–50k,4. 201–1000,3. 1k–5k
langchain-ai,langgraph,langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,32779,279,6880,main,4. 25k–50k,4. 201–1000,4. 5k–20k
tinygrad,tinygrad,tinygrad/tinygrad,https://github.com/tinygrad/tinygrad,32750,473,12876,master,4. 25k–50k,4. 201–1000,4. 5k–20k
nicolargo,glances,nicolargo/glances,https://github.com/nicolargo/glances,32624,243,3151,develop,4. 25k–50k,4. 201–1000,3. 1k–5k
0xAX,linux-insides,0xAX/linux-insides,https://github.com/0xAX/linux-insides,32569,343,245,master,4. 25k–50k,4. 201–1000,1. 100–499
facebookresearch,fairseq,facebookresearch/fairseq,https://github.com/facebookresearch/fairseq,32220,433,431,main,4. 25k–50k,4. 201–1000,1. 100–499
numpy,numpy,numpy/numpy,https://github.com/numpy/numpy,32084,2080,14584,main,4. 25k–50k,5. > 1000,4. 5k–20k
OWASP,CheatSheetSeries,OWASP/CheatSheetSeries,https://github.com/OWASP/CheatSheetSeries,32077,624,970,master,4. 25k–50k,4. 201–1000,2. 500–999
VectifyAI,PageIndex,VectifyAI/PageIndex,https://github.com/VectifyAI/PageIndex,32036,11,284,main,4. 25k–50k,2. 11–50,1. 100–499
dgtlmoon,changedetection.io,dgtlmoon/changedetection.io,https://github.com/dgtlmoon/changedetection.io,31677,134,2115,master,4. 25k–50k,3. 51–200,3. 1k–5k
tqdm,tqdm,tqdm/tqdm,https://github.com/tqdm/tqdm,31167,119,202,master,4. 25k–50k,3. 51–200,1. 100–499
Lightning-AI,pytorch-lightning,Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,31152,1060,6115,master,4. 25k–50k,5. > 1000,4. 5k–20k
openai,openai-python,openai/openai-python,https://github.com/openai/openai-python,30826,152,1364,main,4. 25k–50k,3. 51–200,3. 1k–5k
searxng,searxng,searxng/searxng,https://github.com/searxng/searxng,30555,339,5050,master,4. 25k–50k,4. 201–1000,4. 5k–20k
FujiwaraChoki,MoneyPrinterV2,FujiwaraChoki/MoneyPrinterV2,https://github.com/FujiwaraChoki/MoneyPrinterV2,30536,11,114,main,4. 25k–50k,2. 11–50,1. 100–499
jumpserver,jumpserver,jumpserver/jumpserver,https://github.com/jumpserver/jumpserver,30487,179,6763,dev,4. 25k–50k,3. 51–200,4. 5k–20k
fishaudio,fish-speech,fishaudio/fish-speech,https://github.com/fishaudio/fish-speech,30470,95,729,main,4. 25k–50k,3. 51–200,2. 500–999
StevenBlack,hosts,StevenBlack/hosts,https://github.com/StevenBlack/hosts,30411,172,1845,master,4. 25k–50k,3. 51–200,3. 1k–5k
trailofbits,algo,trailofbits/algo,https://github.com/trailofbits/algo,30241,202,260,main,4. 25k–50k,4. 201–1000,1. 100–499
soxoj,maigret,soxoj/maigret,https://github.com/soxoj/maigret,30057,60,1026,main,4. 25k–50k,3. 51–200,3. 1k–5k
encode,django-rest-framework,encode/django-rest-framework,https://github.com/encode/django-rest-framework,30027,1481,571,main,4. 25k–50k,5. > 1000,2. 500–999
onyx-dot-app,onyx,onyx-dot-app/onyx,https://github.com/onyx-dot-app/onyx,29646,192,8115,main,4. 25k–50k,3. 51–200,4. 5k–20k
AtsushiSakai,PythonRobotics,AtsushiSakai/PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,29596,147,611,master,4. 25k–50k,3. 51–200,2. 500–999
JaidedAI,EasyOCR,JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,29505,129,214,master,4. 25k–50k,3. 51–200,1. 100–499
python-telegram-bot,python-telegram-bot,python-telegram-bot/python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,29163,210,942,master,4. 25k–50k,4. 201–1000,2. 500–999
hpcaitech,Open-Sora,hpcaitech/Open-Sora,https://github.com/hpcaitech/Open-Sora,29010,67,1333,main,4. 25k–50k,3. 51–200,3. 1k–5k
Genesis-Embodied-AI,genesis-world,Genesis-Embodied-AI/genesis-world,https://github.com/Genesis-Embodied-AI/genesis-world,28834,89,1414,main,4. 25k–50k,3. 51–200,3. 1k–5k
deepinsight,insightface,deepinsight/insightface,https://github.com/deepinsight/insightface,28784,67,861,master,4. 25k–50k,3. 51–200,2. 500–999
Ebazhanov,linkedin-skill-assessments-quizzes,Ebazhanov/linkedin-skill-assessments-quizzes,https://github.com/Ebazhanov/linkedin-skill-assessments-quizzes,28753,1687,5610,main,4. 25k–50k,5. > 1000,4. 5k–20k
521xueweihan,GitHub520,521xueweihan/GitHub520,https://github.com/521xueweihan/GitHub520,28728,18,21742,main,4. 25k–50k,2. 11–50,5. > 20k
Alishahryar1,free-claude-code,Alishahryar1/free-claude-code,https://github.com/Alishahryar1/free-claude-code,28600,31,653,main,4. 25k–50k,2. 11–50,2. 500–999
getredash,redash,getredash/redash,https://github.com/getredash/redash,28590,544,727,master,4. 25k–50k,4. 201–1000,2. 500–999
celery,celery,celery/celery,https://github.com/celery/celery,28522,1507,1491,main,4. 25k–50k,5. > 1000,3. 1k–5k
reflex-dev,reflex,reflex-dev/reflex,https://github.com/reflex-dev/reflex,28447,203,3117,main,4. 25k–50k,4. 201–1000,3. 1k–5k
stanford-oval,storm,stanford-oval/storm,https://github.com/stanford-oval/storm,28254,26,238,main,4. 25k–50k,2. 11–50,1. 100–499
sgl-project,sglang,sgl-project/sglang,https://github.com/sgl-project/sglang,28164,1426,13068,main,4. 25k–50k,5. > 1000,4. 5k–20k
pydantic,pydantic,pydantic/pydantic,https://github.com/pydantic/pydantic,27839,761,4439,main,4. 25k–50k,4. 201–1000,3. 1k–5k
locustio,locust,locustio/locust,https://github.com/locustio/locust,27814,386,3606,master,4. 25k–50k,4. 201–1000,3. 1k–5k
ArchiveBox,ArchiveBox,ArchiveBox/ArchiveBox,https://github.com/ArchiveBox/ArchiveBox,27530,144,2319,dev,4. 25k–50k,3. 51–200,3. 1k–5k
davila7,claude-code-templates,davila7/claude-code-templates,https://github.com/davila7/claude-code-templates,27511,80,1218,main,4. 25k–50k,3. 51–200,3. 1k–5k
huggingface,smolagents,huggingface/smolagents,https://github.com/huggingface/smolagents,27475,203,1043,main,4. 25k–50k,4. 201–1000,3. 1k–5k
assafelovic,gpt-researcher,assafelovic/gpt-researcher,https://github.com/assafelovic/gpt-researcher,27248,240,2936,main,4. 25k–50k,4. 201–1000,3. 1k–5k
QwenLM,Qwen3,QwenLM/Qwen3,https://github.com/QwenLM/Qwen3,27246,50,303,main,4. 25k–50k,2. 11–50,1. 100–499
hsliuping,TradingAgents-CN,hsliuping/TradingAgents-CN,https://github.com/hsliuping/TradingAgents-CN,27207,19,1225,main,4. 25k–50k,2. 11–50,3. 1k–5k
squidfunk,mkdocs-material,squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,26780,333,3397,master,4. 25k–50k,4. 201–1000,3. 1k–5k
ungoogled-software,ungoogled-chromium,ungoogled-software/ungoogled-chromium,https://github.com/ungoogled-software/ungoogled-chromium,26702,107,525,master,4. 25k–50k,3. 51–200,2. 500–999
