repositorio,api,tempo_ms,tamanho_bytes
microsoft/markitdown,GraphQL,492.083,749.0
microsoft/markitdown,REST,404.301,6578.0
microsoft/vscode,GraphQL,514.26,677.0
microsoft/vscode,REST,461.579,6517.0
mrdoob/three.js,GraphQL,492.099,859.0
mrdoob/three.js,REST,312.283,5270.0
msitarzewski/agency-agents,GraphQL,456.593,691.0
msitarzewski/agency-agents,REST,362.404,5862.0
multica-ai/andrej-karpathy-skills,GraphQL,364.297,573.0
multica-ai/andrej-karpathy-skills,REST,341.859,6932.0
n8n-io/n8n,GraphQL,496.589,1255.0
n8n-io/n8n,REST,392.165,6269.0
nilbuild/developer-roadmap,GraphQL,558.275,1256.0
nilbuild/developer-roadmap,REST,310.844,6024.0
nodejs/node,GraphQL,410.841,777.0
nodejs/node,REST,432.766,6037.0
obra/superpowers,GraphQL,421.219,781.0
obra/superpowers,REST,361.275,5276.0
ohmyzsh/ohmyzsh,GraphQL,470.67,1288.0
ohmyzsh/ohmyzsh,REST,361.155,6661.0
ollama/ollama,GraphQL,511.18,982.0
ollama/ollama,REST,412.487,6201.0
open-webui/open-webui,GraphQL,493.04,975.0
open-webui/open-webui,REST,357.651,6590.0
openclaw/openclaw,GraphQL,462.279,781.0
openclaw/openclaw,REST,438.122,6334.0
ossu/computer-science,GraphQL,442.497,678.0
ossu/computer-science,REST,364.278,6454.0
papers-we-love/papers-we-love,GraphQL,455.158,763.0
papers-we-love/papers-we-love,REST,369.424,6945.0
practical-tutorials/project-based-learning,GraphQL,436.95,761.0
practical-tutorials/project-based-learning,REST,337.378,7719.0
public-apis/public-apis,GraphQL,460.34,965.0
public-apis/public-apis,REST,355.733,6825.0
react/react,GraphQL,456.335,700.0
react/react,REST,416.137,6035.0
react/react-native,GraphQL,477.852,794.0
react/react-native,REST,413.411,6390.0
ripienaar/free-for-dev,GraphQL,357.391,644.0
ripienaar/free-for-dev,REST,359.549,5479.0
rust-lang/rust,GraphQL,435.894,639.0
rust-lang/rust,REST,457.782,6264.0
rustdesk/rustdesk,GraphQL,557.876,1135.0
rustdesk/rustdesk,REST,291.008,5574.0
shadcn-ui/ui,GraphQL,534.673,943.0
shadcn-ui/ui,REST,390.514,6262.0
sindresorhus/awesome,GraphQL,460.305,661.0
sindresorhus/awesome,REST,298.066,5539.0
tauri-apps/tauri,GraphQL,435.446,797.0
tauri-apps/tauri,REST,360.237,6462.0
tensorflow/tensorflow,GraphQL,460.417,818.0
tensorflow/tensorflow,REST,483.723,6822.0
torvalds/linux,GraphQL,366.246,489.0
torvalds/linux,REST,291.112,5079.0
trekhleb/javascript-algorithms,GraphQL,505.452,877.0
trekhleb/javascript-algorithms,REST,295.142,6047.0
trimstray/the-book-of-secret-knowledge,GraphQL,507.887,1152.0
trimstray/the-book-of-secret-knowledge,REST,316.465,6482.0
twbs/bootstrap,GraphQL,461.715,795.0
twbs/bootstrap,REST,371.872,6205.0
ultraworkers/claw-code,GraphQL,425.438,596.0
ultraworkers/claw-code,REST,357.726,6626.0
vercel/next.js,GraphQL,565.719,924.0
vercel/next.js,REST,417.625,6259.0
vinta/awesome-python,GraphQL,378.31,773.0
vinta/awesome-python,REST,347.59,5478.0
vuejs/vue,GraphQL,440.328,669.0
vuejs/vue,REST,366.707,5949.0
x1xhlol/system-prompts-and-models-of-ai-tools,GraphQL,565.113,1393.0
x1xhlol/system-prompts-and-models-of-ai-tools,REST,355.805,6980.0
yangshun/tech-interview-handbook,GraphQL,463.462,987.0
yangshun/tech-interview-handbook,REST,358.227,6216.0
yt-dlp/yt-dlp,GraphQL,410.551,764.0
yt-dlp/yt-dlp,REST,370.24,6203.0
ytdl-org/youtube-dl,GraphQL,359.33,589.0
ytdl-org/youtube-dl,REST,360.892,6459.0
