api,n,tempo_media,tempo_mediana,tempo_std,tempo_min,tempo_max,tam_media,tam_mediana,tam_std,tam_min,tam_max
GraphQL,100,462.78,461.81,52.21,357.39,568.82,840.31,787.5,206.82,489.0,1393.0
REST,100,366.99,361.02,50.58,280.56,483.72,6287.3,6343.0,620.58,5079.0,7719.0
