repositorio,api,repeticao,tempo_ms,tamanho_bytes
996icu/996.ICU,GraphQL,5,309.699,559
practical-tutorials/project-based-learning,REST,1,337.378,7719
practical-tutorials/project-based-learning,GraphQL,1,368.981,761
practical-tutorials/project-based-learning,GraphQL,2,379.829,761
practical-tutorials/project-based-learning,REST,2,351.618,7719
practical-tutorials/project-based-learning,REST,3,369.808,7719
practical-tutorials/project-based-learning,GraphQL,3,460.127,761
practical-tutorials/project-based-learning,GraphQL,4,460.766,761
practical-tutorials/project-based-learning,REST,4,324.003,7719
practical-tutorials/project-based-learning,REST,5,320.069,7719
practical-tutorials/project-based-learning,GraphQL,5,436.95,761
react/react,REST,1,352.856,6035
react/react,GraphQL,1,367.432,700
react/react,GraphQL,2,444.998,700
react/react,REST,2,370.053,6035
react/react,REST,3,530.91,6035
react/react,GraphQL,3,456.335,700
react/react,GraphQL,4,480.288,700
react/react,REST,4,445.217,6035
react/react,REST,5,416.137,6035
react/react,GraphQL,5,506.134,700
torvalds/linux,REST,1,291.112,5079
torvalds/linux,GraphQL,1,346.875,489
torvalds/linux,GraphQL,2,448.47,489
torvalds/linux,REST,2,281.328,5079
torvalds/linux,REST,3,299.069,5079
torvalds/linux,GraphQL,3,322.05,489
torvalds/linux,GraphQL,4,366.246,489
torvalds/linux,REST,4,323.776,5079
torvalds/linux,REST,5,279.972,5079
torvalds/linux,GraphQL,5,440.475,489
obra/superpowers,REST,1,359.16,5276
obra/superpowers,GraphQL,1,362.514,781
obra/superpowers,GraphQL,2,424.631,781
obra/superpowers,REST,2,294.011,5276
obra/superpowers,REST,3,366.647,5276
obra/superpowers,GraphQL,3,421.219,781
obra/superpowers,GraphQL,4,396.177,781
obra/superpowers,REST,4,361.275,5276
obra/superpowers,REST,5,432.029,5276
obra/superpowers,GraphQL,5,440.013,781
trimstray/the-book-of-secret-knowledge,REST,1,375.95,6482
trimstray/the-book-of-secret-knowledge,GraphQL,1,458.347,1152
trimstray/the-book-of-secret-knowledge,GraphQL,2,507.196,1152
trimstray/the-book-of-secret-knowledge,REST,2,316.465,6482
trimstray/the-book-of-secret-knowledge,REST,3,287.338,6482
trimstray/the-book-of-secret-knowledge,GraphQL,3,534.461,1152
trimstray/the-book-of-secret-knowledge,GraphQL,4,872.113,1152
trimstray/the-book-of-secret-knowledge,REST,4,366.872,6482
trimstray/the-book-of-secret-knowledge,REST,5,282.995,6482
trimstray/the-book-of-secret-knowledge,GraphQL,5,507.887,1152
TheAlgorithms/Python,REST,1,357.715,6755
TheAlgorithms/Python,GraphQL,1,490.203,1005
TheAlgorithms/Python,GraphQL,2,533.718,1005
TheAlgorithms/Python,REST,2,357.54,6755
