metrica,n_pares,mediana_REST,mediana_GraphQL,diff_mediana_GraphQL_menos_REST,reducao_GraphQL_pct,wilcoxon_stat,p_valor,significativo_5pct,cliffs_delta,magnitude_efeito
RQ1 - tempo_ms,100,361.024,461.809,100.785,-27.92,54.0,1.961e-17,True,0.802,grande
RQ2 - tamanho_bytes,100,6343.0,787.5,-5555.5,87.58,0.0,3.896e-18,True,-1.0,grande
